800;Layered network models;A wedding cake at port 80's party: each tier only touches its neighbors, and the baker swaps the frosting layer without rebuilding the cake.;OSI (7-layer) and TCP/IP (4-layer) models stack protocols so each layer serves the one above and rides the one below.;"HTTP rides TCP rides IP rides Ethernet; swap Wi-Fi for Ethernet and HTTP never notices";OOP encapsulation — same word, but here it means each layer wrapping the payload in its own header.
801;IP addresses & CIDR subnets;"A street named 192.168.1 with 254 houses; the /24 is a slash of paint marking exactly where the street name ends and house numbers begin.";"An IP address identifies a host; CIDR notation (/24) splits it into network prefix and host bits to define subnets.";"10.0.0.0/8 = 16M hosts; 192.168.1.0/24 = 254 usable; 10.0.5.7 and 10.9.9.9 share the /8";"MAC address — burned-in link-layer hardware ID that never routes beyond the local segment; IP is the routable logical address."
802;DNS resolution chain;"You ask a librarian (resolver) for a book; she phones the root desk, the '.com' floor, then the publisher itself, and pencils the shelf number in her notebook (cache).";Resolving a name walks root, TLD, then authoritative nameservers, with recursive resolvers caching answers by TTL.;dig +trace example.com: . NS, then com. NS, then example.com NS, then A 93.184.216.34;"/etc/hosts — a local static override consulted first; the resolution chain only runs on a miss."
803;NAT;A hotel receptionist mails all guests' letters under the hotel's single street address, logging room numbers so replies reach the right bed.;NAT rewrites private source IPs/ports to one public address at the router, keeping a translation table to route replies back inside.;"laptop 192.168.1.5:51000 mapped by router to 203.0.113.9:62001; reply to :62001 forwarded back";"Proxy — an application-level intermediary you configure; NAT rewrites packets transparently at the router."
804;Latency vs bandwidth;A fire hose that takes ten seconds before water arrives: fat pipe (bandwidth), long wait (latency). Widening the hose never shortens the wait.;"Latency is delay per trip (ms); bandwidth is volume per second — a truck of tapes has huge bandwidth but terrible latency.";"Same 100ms RTT on 1Gbps and 10Mbps links; a 1-byte ping cares only about RTT, a 4K stream about bandwidth";"Throughput — the rate actually achieved; bandwidth is the pipe's capacity ceiling."
805;Packet switching;"A novel mailed page-by-page in numbered envelopes; each page hitchhikes its own route and the reader reassembles the story on arrival.";Data is chopped into independently routed packets that may arrive out of order, sharing links statistically instead of reserving a circuit.;"One HTTP response becomes many IP packets; packet 7 may take a different route than packet 6";"Circuit switching — reserves a dedicated path for the whole call (old telephony); packets share lines opportunistically."
806;Routing & routing tables;"Airport staff at every gate who only point to the next gate; you cross the world via strangers each knowing exactly one arrow.";"Each router forwards a packet one hop toward its destination by longest-prefix match in its table; no node knows the full path.";"ip route: 10.0.0.0/8 via 10.1.1.1; default via 192.168.1.1; most-specific prefix wins";"Switching — forwards frames by MAC within one LAN; routing crosses networks by IP prefix."
807;MTU & fragmentation;A parade float too tall for the tunnel: saw it into pieces (fragment) or reroute — the tunnel's height sign reads 1500.;"The MTU caps packet size per link (Ethernet 1500 bytes); oversized packets fragment or are dropped with 'fragmentation needed'.";ping -M do -s 1472 host succeeds, -s 1473 fails: 1472 + 28 bytes of headers = 1500 MTU;MSS — TCP's payload cap derived from MTU minus IP+TCP headers (typically 1460).
808;Ports;"One apartment building (the IP) with 65,535 numbered doors; the web server always answers door 80, SSH lurks behind door 22.";"A 16-bit port number multiplexes many services on one IP; well-known ports (80, 443, 22) sit below 1024 and need root to bind.";"curl http://example.com:8080; ssh -p 22 host; ephemeral client ports around 49152-65535";"IP address — picks the machine; the port picks the process or service on it."
809;TTL & traceroute;A bus ticket with punch holes: every driver punches once, and when it's full you're thrown off — with a postcard mailed home saying exactly where.;"Each router decrements a packet's TTL; at zero it is dropped with ICMP 'time exceeded' — traceroute maps paths by sending TTL=1,2,3...";traceroute example.com: hop 1 home router 1ms, hop 2 ISP 8ms, ... hop 12 destination;"DNS TTL — cache lifetime in seconds; IP TTL counts router hops, not time."
810;TCP reliable byte stream;A conveyor belt built over a potholed road: crates below may drop and jumble, but the belt above delivers every byte smoothly in order.;TCP presents an ordered, lossless byte stream over unreliable IP by numbering, acknowledging, and retransmitting segments.;"write 'hello' then 'world'; receiver may read 'hel','lowor','ld' — a stream, not messages";"UDP — datagrams with boundaries, no ordering or retransmission; TCP is a boundary-less stream."
811;Three-way handshake;Two fencers salute: 'En garde!' (SYN), 'En garde — ready!' (SYN-ACK), 'Ready!' (ACK) — only then may blades (data) cross.;TCP opens with SYN, SYN-ACK, ACK: both sides exchange initial sequence numbers and confirm before any data flows.;"client SYN seq=x; server SYN-ACK seq=y ack=x+1; client ACK ack=y+1; costs one RTT before data";TLS handshake — key exchange that runs after TCP's handshake completes, adding more round trips.
