code,concept,definition,anchor,example,confusables,alternates,domain_name,category_name,mnemonic,learned
000,Value,A value is a piece of data an expression evaluates to - the atom every computation produces and consumes.,"In an empty white warehouse stenciled 000, a single marble rests on the bare concrete: the first thing that exists. Everything ever built will just be shelving for marbles.","42, 3.14, ""hi"" - each evaluates to itself",Variable - a variable is a name that refers to a value; the value is the data itself.,A gold coin alone in an unlit vault,Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
001,Integer type,"An integer type stores whole numbers exactly, as fixed-width binary (32/64-bit) or arbitrary precision as in Python.",A grumpy census-taker counts sheep through a gate - 'one... two...' - and snaps his pencil in half when a half-sheep tries to pass. Whole things only.,n = 42; type(n) is int; Python ints never overflow,Float - floats trade exactness for fractional range; ints are exact whole numbers.,Lego bricks that only snap at full studs,Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
002,Floating-point type,"A float approximates real numbers with a sign, binary exponent, and fixed-size mantissa, so most decimals are stored inexactly.",A number lounging on a pool float: the decimal point slides up and down its body as the exponent tide rises and falls - the point literally floats.,x = 0.1 # stored as the nearest binary fraction,Decimal type - Decimal stores base-10 digits exactly; float is binary and approximate.,A hot-air balloon whose altitude dial is the exponent,Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
003,Boolean,"A boolean is a type with exactly two values, true and false, the result type of comparisons and the fuel of conditions.",A brass light switch shaped like George Boole's mustache: it clicks fully up or fully down with a loud snap - there is physically no in-between position.,flag = True; 3 > 2 evaluates to True,Truthiness - truthiness coerces any value to a bool in conditions; bool itself has only True/False.,A two-sided coin welded so it can never land on its edge,Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
004,Character type,A char holds one text symbol as a number - a Unicode code point (or UTF-16 unit in Java/C#); 'A' is 65 underneath.,"A theater full of actors ('characters'), each wearing a numbered badge: the actor playing 'A' flashes badge 65 at the stage door.","C: char c = 'A'; c == 65 is true. Python has no char: just ""A""",String - a string is a sequence of chars; a char is a single symbol/code unit.,A single Scrabble tile with its point value carved on the back,Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
005,String type,"A string is a value holding a sequence of characters representing text, written between quotes and immutable in most languages.","Letters threaded on a length of twine, clasped at both ends by two silver quote-mark clips - a literal string of characters you can wear.","s = ""hello""; s[1] == ""e""","Char - some languages distinguish 'a' (char) from ""a"" (a length-1 string).",Alphabet beads on a necklace,Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
006,Null / None,"Null/None is a sentinel value meaning 'no value here', deliberately distinct from 0, false, and empty string.",You open your numbered mailbox expecting mail and find not an empty envelope but no envelope at all - just a cold draft blowing through the hole in the wall.,"x = None; x is None -> True; not the same as 0 or """"",Undefined (JS) - undefined means never assigned; null is an assigned 'intentionally empty'.,A chair reserved with a sign reading NOBODY,Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
007,Literal,"A literal is a value written directly in source code - 42, 3.14, ""hi"", True, [1,2] - denoting itself with no computation.","A stone tablet with '42' chiseled straight into it. 'Take it literally,' grunts the mason, 'no math required - it says what it is.'","42, ""hi"", [1, 2, 3] are literals; x + 1 is not",Constant - a constant is a named binding that can't be reassigned; a literal is the raw notation itself.,"A price tag with the price printed, not calculated at the till",Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
008,Implicit type coercion,"Coercion is the language auto-converting a value's type in mixed expressions: 1 + 2.0 -> 3.0; JS ""1"" + 1 -> ""11"".","A pushy customs officer at the border between number-land and string-land restamps your passport to the other nationality without asking - you only notice when ""11"" comes out.","JS: ""1"" + 1 -> ""11""; Python: 1 + 2.0 -> 3.0",Explicit conversion - conversion is you calling int()/str(); coercion happens automatically.,A chameleon forced to change color by whatever branch it lands on,Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
009,Explicit type conversion,"Explicit conversion (casting) deliberately transforms a value to another type - int(""42"") - and may lose data, as in int(3.9) -> 3.","A foundry where you pour molten string ""42"" into an int-shaped cast; the mold takes the shape and a worker saws off the overhanging decimal tail (3.9 loses its .9).","int(""42"") -> 42; int(3.9) -> 3 (truncated); str(7) -> ""7""",Coercion - coercion is automatic and invisible; conversion is programmer-requested and visible in code.,"A cookie cutter pressing dough into a new shape, scraps discarded",Programming fundamentals,Values & primitive types,"0 is the empty origin: null, zero, the blank slate every program starts from",0
