900;Regression safety net;"A trapeze artist refactors in mid-air above a net woven from every bug ever fixed; one wrong move and the net snaps taut, catching the fall before it hits production.";An automated test suite that reruns past expectations on every change, catching reintroduced bugs before they reach users.;npm test runs on every push / 2,400 tests replay all past expectations in 90s / old bug #512 has a test pinning its fix forever;Manual QA pass - the net is automated and reruns on EVERY change, not a human sweep before release.
901;Test pyramid;An Egyptian pyramid: thousands of tiny cheap bricks (unit tests) form the base, a few huge slow granite slabs (E2E) sit at the tip. Build it upside-down and it topples.;Strategy of many fast unit tests at the base, fewer integration tests in the middle, and very few slow end-to-end tests at the top.;"700 unit / 80 integration / 10 E2E / unit: milliseconds each; E2E: minutes each / inverted 'ice-cream cone' suites crawl and flake";Ice-cream cone anti-pattern - the inverted shape: mostly manual and E2E tests balanced on few unit tests.
902;Unit, integration, E2E tests;Testing a car: the spark plug fires alone on the bench (unit), the assembled engine roars on the stand (integration), then a driver takes the whole car around the block (E2E).;Test scopes: unit checks one piece in isolation, integration checks pieces wired together, end-to-end drives the whole system like a user.;unit: assert add(2,3) == 5 / integration: repo saves to a real Postgres / E2E: browser clicks Buy, order row appears;"Integration vs E2E - integration wires SOME real parts together; E2E exercises the full deployed stack through the user interface."
903;Arrange-Act-Assert;A three-act play: stagehands ARRANGE the props, the ACTor performs exactly one scene, then a critic stands up and ASSERTs the verdict.;Three-part test structure: set up the starting state, invoke the one behavior under test, then verify the outcome.;user = User(balance=100) # arrange / user.withdraw(30) # act / assert user.balance == 70 # assert;"Given-When-Then - the same triad in BDD wording; AAA names code sections, GWT names the spec language."
904;One behavior per test;A sniper's rule: one bullet, one target. When a shot misses you know precisely which target survived - unlike a shotgun blast where any pellet could have failed.;"Each test verifies a single behavior so a failure names exactly what broke; piles of unrelated asserts blur the diagnosis.";test_withdraw_reduces_balance / test_withdraw_rejects_overdraft / not: test_withdraw_works with 12 asserts;"One assert per test - the stricter rule; several asserts are fine when they all check the SAME behavior."
905;Test fixtures;A photo studio with lighting rigs bolted to the floor: every model (test) walks into the identical pre-built set, shoots, and the crew resets it for the next.;Reusable, known-good setup - objects, data, environment - that puts each test into a fixed, predictable starting state.;@pytest.fixture / def db(): return seeded_test_db() / def test_query(db): ...;"Factory - a fixture provides one fixed prepared state; a factory builds fresh, varied objects on demand."
906;Test isolation;An exam hall of soundproof booths: each student (test) gets a wiped desk and cannot copy a neighbor. Shuffle the seating order and the scores never change.;"Tests must not share mutable state or depend on order; each runs in a fresh world so any subset passes on its own.";each test gets its own tmp dir and DB transaction / shuffle order with pytest-randomly to expose coupling / a test failing alone must fail in the suite too;"Determinism - determinism is same result across runs; isolation is independence between tests within a run."
907;Deterministic tests;A metronome ticks identical beats forever: same input, same tick, whether it's midnight, a leap day, or a slow, overloaded CI box.;A test that always yields the same verdict for the same code, with time, randomness, network, and concurrency under control.;freeze time: clock = FakeClock(2026, 1, 1) / seed randomness: random.seed(42) / stub the network call;Flaky test - the exact opposite: same code, different verdicts across runs.
908;Flaky tests;A slot machine bolted into the CI room: pull the same lever on the same code and sometimes cherries, sometimes lemons - soon the team stops believing any result.;A test that passes and fails nondeterministically on unchanged code, eroding trust until real failures get ignored too.;sleep(2) then assert job done # loses on slow CI / team presses retry-until-green daily / fix: await the completion event, never sleep;"Genuinely failing test - a flake flips verdicts on identical code; a real failure is consistent and blames the change."
909;Fast feedback;"Touch a hot stove and you learn in milliseconds; if the burn arrived tomorrow you would never connect it to the stove. Slow test suites deliver tomorrow's burns.";"The shorter the gap between change and verdict, the cheaper the fix; keep the core suite seconds-fast and run it constantly.";watch mode reruns affected tests on save / unit suite under 10s, full CI under 10 min / slow suites get run less, so bugs age;Fast tests vs fast pipeline - feedback time includes queueing and build time, not just test runtime.
910;Test-driven development (TDD);A teacher writes the exam FIRST, watches the empty classroom fail it, then teaches exactly enough for the class to pass - and not one lesson more.;Workflow of writing a failing test before the code that passes it, letting tests drive design in small verified steps.;1. write test_parse_empty -> red / 2. implement parse() minimally -> green / 3. refactor while tests stay green;Test-after - TDD's failing-test-first step proves the test CAN fail and shapes the API before code exists.
911;Red-green-refactor;A traffic light stuck on a loop: RED halts you at a failing test, GREEN means the minimal code drove through, then a yellow refactor lap polishes the car before the light turns red again.;TDD's micro-cycle: watch the new test fail (red), write minimal code to pass (green), then clean up with the tests standing guard.;red: assert slug('A B') == 'a-b' fails / green: return s.lower().replace(' ', '-') / refactor: extract, rename - still green;Debugging cycle - red here is deliberate and expected before the code exists, not an accident to investigate.
912;Stub;A movie ticket STUB torn off at the door: pre-printed with one fixed answer, 'Seat 12F', no matter what question you ask the usher.;"A test double that returns canned answers to calls, supplying indirect input; it verifies nothing itself.";stub_rates.get('EUR') -> always 1.08 / test asserts only on the converter's output;"Mock - a mock also asserts WHICH calls it received; a stub just feeds answers and is never verified."
913;Mock;A MOCK trial where the fake witness holds a script AND a checklist: afterward the judge fails you if you did not ask the expected questions.;"A test double pre-programmed with expected calls; the test passes or fails on whether the interaction happened as specified.";mailer = Mock() / service.register(user) / mailer.send.assert_called_once_with(user.email);"Stub - stubs feed data in (state verification); mocks assert on the calls made (behavior verification)."
914;Fake;A street-market FAKE Rolex: it truly ticks and tells the time - a real working mechanism - it's just cheap plastic inside. An in-memory store, not Postgres.;A lightweight but genuinely working implementation used in tests, like an in-memory database - real behavior, unfit for production.;class InMemoryRepo: dict-backed save/find / tests run in milliseconds, no real DB / same interface as the production repo;"Stub - a fake has real working logic; a stub only replays hardcoded answers."
915;Spy;A SPY wiretaps the phone line: the real conversation goes through untouched, but every word is recorded for inspection after the call ends.;A test double, often wrapping the real object, that records calls for later inspection while letting behavior proceed.;spy = spy_on(logger) / service.run() / assert spy.calls[0].args == ('started',);"Mock - a mock fails on unexpected interactions by upfront contract; a spy just records, and you assert afterwards."
916;Property-based testing;Instead of tasting three cookies, a factory robot bakes 10,000 random cookies and checks one law: none may leave the oven raw. It hands you the SMALLEST raw cookie it found.;Generate hundreds of random inputs and check an invariant holds for all, shrinking any failure to a minimal counterexample.;@given(st.lists(st.integers())) / def test(xs): assert rev(rev(xs)) == xs / hypothesis shrinks any failure to minimal xs;"Fuzzing - fuzzing hunts crashes on arbitrary input; property tests check stated invariants and shrink counterexamples."
917;Snapshot testing;A night guard holds yesterday's Polaroid up against today's room: any moved chair trips the alarm - even the chair you moved on purpose.;"Capture a rendered output once, then fail whenever new output differs from the stored snapshot; changes need explicit re-approval.";expect(render(<Card/>)).toMatchSnapshot() / diff shown on any change / jest -u accepts the new picture;"Assertion tests - snapshots pin the entire output blob; assertions pin chosen, meaningful properties."
918;Coverage limits;A museum guard 'covers' the building by strolling every corridor - 100% of hallways walked - while never once checking whether a single painting is genuine.;"Coverage shows which lines ran, not which behaviors were verified; 100% coverage with weak asserts proves nothing.";"test calls process(order) with no asserts / coverage: 100%; bugs caught: 0 / coverage finds UNtested code, not tested code";"Mutation score - mutation testing measures whether tests detect changes; coverage only measures execution."
919;Mutation testing;"A gremlin sneaks in at night flipping plus signs to minus in the vault's code; if the alarm system (your test suite) stays silent, your alarms are decorative.";A tool mutates your code - flips <, deletes calls - and every mutant your suite fails to kill exposes an assertion gap.;mutmut run (or Stryker for JS) / mutant survived: 'a <= b' -> 'a < b' / add a boundary test to kill it;"Chaos engineering - chaos perturbs the running system; mutation testing perturbs source code to grade the tests."
920;Read the error message;A driver ignores the dashboard text 'FUEL CAP OPEN - LEFT SIDE' and dismantles the engine instead. The bug's name, file, and line were printed on line one.;"Errors usually name the problem, file, and line; read the full message and the first relevant stack frame before theorizing.";"TypeError: cannot read 'id' of undefined / at orders.js:42 / -> user is undefined at line 42; start there";"Skimming the stack trace - find the deepest frame in YOUR code; framework frames around it are usually noise."
921;Reproduce first;A detective refuses to name a suspect until she can re-stage the crime on command: same room, same knife, same failure, ten times out of ten.;"Make the bug happen on demand before attempting any fix; an unreproduced bug can never be verified as fixed.";repro.sh fails 10/10 runs / after the fix: 0/10 / no repro yet? add logging and wait for recurrence;Fixing by plausible theory - without a repro you cannot distinguish 'fixed' from 'stopped looking'.
922;Minimal failing case;Keep halving the haystack: if the needle still pricks, throw away the other half. You end up holding ten straws and one gleaming needle - a ten-line repro.;Repeatedly delete or simplify parts of a failing case, keeping it failing, until only the essence of the bug remains.;5,000-line page fails -> delete half, still fails / repeat until 8 lines of HTML still break layout / the bug report IS those 8 lines;"Reproduce first - reproduction makes it happen at all; minimization shrinks it to the smallest trigger."
