300;Function;A juicer bolted to the counter: fruit in the top, juice out the spout — same fruit, same juice, every pull of the lever.;A named, reusable block of code that takes inputs and produces an output when called.;def area(w, h): / return w * h / area(3, 4) # 12;Method — a function bound to an object, called via an instance (obj.f()) rather than free-standing.
301;Function signature;A wax-sealed contract nailed to the shop door listing what you must hand over and what you get back — you sign(ature) before entering.;The function's public contract: its name, parameter list, and optionally return type — everything a caller needs to know.;def greet(name: str, loud: bool = False) -> str: ...;"Implementation/body — the signature says what to call it with; the body says how it computes."
302;Parameter vs argument;"The theater program prints the role 'Hamlet' (parameter); on opening night a real actor walks on (argument). Roles are printed once, actors change nightly.";"Parameters are the named placeholders in the definition; arguments are the actual values supplied at the call site.";def pay(amount): ... # amount = parameter / pay(99.50) # 99.50 = argument;Local variable — a parameter is one, but born only from a call-site argument.
303;Positional arguments;A relay handoff where batons go to lanes strictly by position — swap two lanes and the wrong runner gets the baton, silently.;Arguments matched to parameters purely by their order in the call: first to first, second to second.;def sub(a, b): return a - b / sub(10, 3) # 7 / sub(3, 10) # -7, order matters;Keyword arguments — matched by parameter name, so their order does not matter.
304;Keyword arguments;Luggage tags with names in bold marker: whatever order the bags tumble off the carousel, each walks straight to its named owner.;Arguments passed as name=value so they bind to parameters by name, making calls order-independent and self-documenting.;connect(host='db', port=5432, retry=True) / connect(port=5432, retry=True, host='db') # same;"Positional arguments — bound by order, not name; ambiguous at complex call sites."
305;Default parameter values;A diner menu: 'burger comes with fries unless you say otherwise' — but the kitchen keeps ONE shared basket of fries, reused for every order (the mutable-default trap).;"A fallback value in the signature used when the caller omits that argument; Python evaluates it once, at definition time.";"def log(msg, level='INFO'): ... / def bad(x, acc=[]): acc.append(x); return acc # shared list!";None-sentinel idiom — def f(x=None) then build inside, avoiding the shared mutable default.
306;Variadic parameters;A star-shaped vacuum nozzle sucking a whole spilled bag of marbles into one tube — one star (*) for loose marbles, two stars (**) for labeled jars.;Parameters that absorb extra arguments: *args gathers positionals into a tuple, **kwargs gathers keywords into a dict.;def tally(*nums, **opts): / return sum(nums), opts / tally(1, 2, 3, unit='kg');"Call-site unpacking — f(*lst) spreads a list out; *args in the def gathers in."
307;Return value;A pneumatic bank tube: you send the canister in and something always whooshes back — even 'nothing' arrives as an empty canister labeled None.;"The value a function hands back to its caller via return; a Python function without a return implicitly yields None.";def half(x): return x / 2 / def greet(): print('hi') / result = greet() # result is None;"print — displays to the screen but hands nothing back; return delivers a value to the caller."
308;Docstring;A tiny instruction scroll rolled up just inside the machine's front panel — pop the panel (help()) and the scroll unrolls in your hands.;"A string literal placed first inside a function documenting purpose, parameters, and return; exposed at runtime via help() and __doc__.";def norm(v): / '''Scale vector v to unit length.''' / ...;"Comment (#) — for maintainers reading source; docstrings are runtime-accessible API docs."
309;Do one thing;"A Swiss Army knife with every blade open at once slices your palm; the chef's single sharp knife makes one perfect cut.";"Keep each function small with a single responsibility at one level of abstraction; if the name needs 'and', split it.";"parse_and_save_and_email(f) # smell / recs = parse(f); save(recs); email(recs)";"DRY — about removing duplication; 'one thing' is about narrowing each unit's purpose."
310;Lexical scoping;Words spoken in a house are heard only by rooms nested inside it, never by the house next door — the floor plan (source text), not the visitor, decides who hears.;"A name resolves to the binding visible where the code is written, not where it is called; scope follows the source text.";x = 'outer' / def f(): print(x) # finds x by where f is WRITTEN / f();Dynamic scoping — resolves names by the runtime call stack instead of the source layout.
311;Scope chain (LEGB);You LEG it up a spiral staircase shouting a name: your room, the landing, the lobby, then the city registry (B) — the first voice that answers, you stop climbing.;Name lookup walks outward through nested scopes — Local, Enclosing, Global, Builtins in Python — and stops at the first match.;"x = 'G' / def f(): / x = 'L'; print(x) # L wins; else E, then G, then B";Shadowing — one visible effect of the chain: an inner binding hides an outer one of the same name.
312;Closure;A deep-sea diver strolls out of the ocean still wearing a bubble of seawater around his head — he carries his birth environment wherever he goes.;A function bundled with the environment where it was defined, so it keeps using outer variables after that scope has returned.;"def make_adder(n): / return lambda x: x + n / add5 = make_adder(5); add5(2) # 7";"Lambda — a syntax for anonymous functions; a closure is any function that captures enclosing variables."
313;Capture variables, not values;You photograph a scoreboard but the print turns out to be a live video feed — glance at it later and the score has changed under your thumb.;A closure holds a live reference to the outer variable itself, so later reassignment changes what the closure sees.;"n = 1 / f = lambda: n / n = 99; f() # 99, not 1";Default-argument snapshot — lambda n=n: n copies the value at definition time, freezing it.
314;Loop-variable capture bug;Ten balloons all tied to one weather vane: when the wind dies, all ten point wherever the vane last settled — nobody kept their own direction.;Closures created in a loop all share the single loop variable, so after the loop every one of them sees its final value.;fs = [lambda: i for i in range(3)] / [f() for f in fs] # [2, 2, 2] / fs = [lambda i=i: i for i in range(3)] # fix;"JS var-in-loop — the same bug; let's per-iteration binding fixes it there, default args or factories in Python."
315;Private state via closure;"A piggy bank sealed inside a wall with two mail slots labeled DEPOSIT and BALANCE; only those slots reach the coins — there is no lid to pry.";Returning inner functions that share an enclosing variable creates state only they can touch — encapsulation without classes.;"const counter = () => { let n = 0; return () => ++n; }; / const c = counter(); c(); c(); // 2";"Python 'private' attributes — an underscore convention, still reachable; closure state is truly inaccessible."
316;Variable shadowing;"A tall stranger plants himself in front of grandpa's hallway portrait wearing the same nametag; everyone addresses the stranger while grandpa hangs hidden in shadow.";An inner-scope binding reuses an outer name, hiding the outer variable for the rest of that scope and inviting confusion.;total = 100 / def f(total): return total * 2 # outer total hidden / f(3) # 6;"Overriding — replaces an inherited method in a subclass; shadowing hides a name in a nested scope."
317;nonlocal and global;Filling out a form in a booth you shout 'this goes on the BUILDING's ledger, not my notepad!' — the clerk stamps GLOBAL and carries it upstairs.;Python declarations letting a function rebind an enclosing-scope name (nonlocal) or a module-level name (global) instead of creating a local.;"def outer(): / n = 0 / def bump(): nonlocal n; n += 1";"Reading outer names — needs no declaration; only assignment requires nonlocal or global."
318;Hoisting;"A crane hoists every crate's empty shell to the warehouse ceiling before dawn; grab one too early and it is there — but hollow (undefined).";JavaScript lifts var and function declarations to the top of their scope, so vars read as undefined before their assignment line runs.;"console.log(x); // undefined, not an error / var x = 5; // declaration hoisted, value not";"let/const TDZ — also hoisted but locked in a temporal dead zone; early access throws instead of undefined."
319;Block vs function scope;"Two hotels: in Hotel Var your keycard opens every room on the floor; in Hotel Let it opens only the one room where it was cut.";"var and Python locals live for the whole function; let/const and most modern languages confine variables to the enclosing block.";"if (true) { var a = 1; let b = 2; } / a; // 1 escapes the block / b; // ReferenceError";"Lexical vs dynamic scope — how names resolve; block vs function is how far a binding extends."
320;First-class functions;At the airport a function rides in seat 1A with its own boarding pass and luggage tag, like any passenger — first class, not crew locked in the cockpit.;Functions are ordinary values: assignable to variables, passed as arguments, returned from calls, and stored in data structures.;ops = {'+': add, '*': mul} / apply = ops['*'] / apply(3, 4) # 12;"Higher-order function — a consumer/producer of functions; first-class is the language property enabling it."
321;Higher-order function;A crane lifting other cranes onto a rooftop: machinery whose cargo is machinery.;A function that takes one or more functions as arguments or returns a function as its result.;def twice(f, x): return f(f(x)) / twice(lambda n: n + 3, 10) # 16;"First-class functions — the language feature; higher-order describes a particular function's signature."
322;Lambda (anonymous function);A masked street performer does exactly one trick and vanishes — no name on any poster, hired on the spot. The mask is shaped like a Greek lambda.;A small nameless function written inline as a single expression, used where naming a one-off function would be noise.;sorted(words, key=lambda w: len(w)) / (lambda x, y: x * y)(3, 4) # 12;"def — a named statement allowing full bodies and docstrings; lambda is one nameless expression."
